Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    2545    68377     4849    30465        0    12222     1085 11101366    44853  9629864   189310    47759       60324     43367    12690     3634   315021   438585   420635    10463        0        0 
    2361    68379     4937    30467        0    12238     1076     1684       48     1445        0        0       60414     43369    12690     3634        0        0        0        0        0        0 
    2361    68379     4937    30467        0    12238     1076        0        0        0        0        0       60414     43369    12690     3634        0        0        0        0        0        0 
    1907    68419     4203    30465        0    13456     1073      346        0      304        1        8       59657     43430    12689     3634        0        0       23        0        0        0 
    1766    68540     4204    30465        0    13331     1192      429        0      360        0        0       59658     43551    12689     3634        0        0        2        0        0        0 
    2493    68635     4204    30465        0    12895     1192      397        0      349        0        0       59658     43646    12688     3634        1        0        0        0        0        0 
    2141    68622     4204    30465        0    12908     1167      175        0      156        0        0       59658     43633    12688     3634        0        0        0        0        0        0 
    2284    68612     4204    30465        0    12922     1167      138        0      137        0        0       59652     43629    12688     3634        0        0        0        0        0        0 
    2086    68609     4205    30465        0    12901     1184      232        0      210        0        0       59653     43626    12688     3634        0        0        2        0        0        0 
    2390    68618     4231    30465        0    12893     1192      161        0      158        0        0       59681     43633    12688     3634        0        0        0        0        0        0 
    2498    68658     4232    30461        0    12848     1192       95        0       95        0        0       59682     43669    12688     3634        0        0        0        0        0        0 
    2148    68648     4232    30461        0    12863     1173      175        0      159        0        0       59682     43659    12688     3634        0        0        0        0        0        0 
    2269    68652     4232    30461        0    12859     1173      115        0      115        0        0       59682     43663    12688     3634        0        0        0        0        0        0 
    2414    68637     4232    30450        0    12853     1178      110        0      109        0        0       59682     43637    12688     3634        0        0        0        0        0        0 
    2563    68643     4232    30446        0    12843     1190      142        0      137        0        0       59682     43639    12688     3634        0        0        0        0        0        0 
    2543    68561     4234    30446        0    12840     1181      424        0      392        0        0       59684     43557    12688     3634        0        0        0        0        0        0 
    2051    68558     4234    30446        0    12830     1166      527        0      515        0        0       59684     43554    12688     3634        0        0        0        0        0        0 
    3114    68855     4235    30420        0    11743     1166      246        0      246        0        0       59763     43747    12688     3634        0        0        0        0        0        0 
    3244    68881     4245    30415        0    11743     1169      105        0       91        0        0       59773     43768    12688     3634        0        0        0        0        0        0 
    2753    68960     4245    30415        0    11743     1183      119        0      100        0        0       59773     43847    12688     3634        0        0        0        0        0        0 
    1771    68463     4474    30405        0    13112     1053      377        0      344        0        0       59975     43367    12688     3634        0        0        2        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    1993    68439     4485    30405        0    13250     1053 11107767    44901  9635679   189311    47767       59963     43366    12688     3634   315022   438585   420664    10463        0        0 
    2113    68433     4487    30405        0    12850     1071      171        0      160        0        0       59965     43360    12688     3634        0        0        0        0        0        0 
    2714    68436     4487    30405        0    12338     1089       92        0       92        0        0       59965     43363    12688     3634        0        0        0        0        0        0 
    2974    68434     4487    30405        0    12157     1089       83        0       77        0        0       59965     43361    12688     3634        0        0        0        0        0        0 
