Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    2719    65050    14096    19435        0    13093     4545 10525472    43246  9334235   189201    45133       48755     49826    13383     4824   311353   433224   318041    10147        0        0 
    2848    65088    14191    19444        0    13094     4549     2238       79     1682        0        0       48856     49867    13380     4824        2        0        1        0        0        0 
    2445    65084    14098    19452        0    13153     4545      666        0      505        0        0       48762     49872    13378     4824        2        0        1        0        0        0 
    2673    65043    14090    19451        0    13155     4540      180        0      175       13        0       48749     49835    13378     4824        0        0        0        0        0        0 
    2531    64996    14003    19448        0    13098     4540      165        0      117        0        0       48658     49789    13378     4824        0        0        0        0        0        0 
    2158    65048    14001    19447        0    13150     4546      209        0      183        0        0       48655     49841    13378     4824        0        0        0        0        0        0 
    3544    64982    14003    19420        0    13056     4550      560        0      428        0        0       48606     49799    11806     4068       12        0        1        0        0        0 
    3457    64928    14006    19321        0    13070     4540      689        0      508        0        0       48464     49791    11089     3856        3        0        4        0        0        0 
    4118    64934    14015    19326        0    13070     4540      836        0      614        0        0       48474     49801    11089     3856        0        0        1        0        0        0 
    5235    64947    13903    18699        0    13059     4542      662        0      516        0        0       47729     49820    11089     3856        0        0        0        0        0        0 
    4961    64942    13902    18699        0    13115     4546      172        0      120        0        0       47728     49815    11089     3856        0        0        0        0        0        0 
    5143    64942    13902    18699        0    13115     4546       14        0       14        0        0       47728     49815    11089     3856        0        0        0        0        0        0 
    5342    64970    13902    18703        0    13059     4540      207        0      175        0        0       47728     49847    11089     3856        0        0        0        0        0        0 
   11237    59057    13910    18703        0    13033     1840      511        0      399        0        0       47727     43943    11089     3856        0        0        0        0        0        0 
   14749    56397    13722    18077        0    13020     1497     1091       43      462        2        0       46744     41452    11078     3847       11        0      151        0        0        0 
   14471    56452    13703    18059        0    12966     1497      343        7      213        0        0       46714     41500    11077     3847        1        0        9        0        0        0 
   14524    56500    14056    18087        0    12966     1536     1306        0     1293        0        0       47096     41547    11077     3847        0        0        1        0        0        0 
   14832    56488    13741    18128        0    12968     1518      145        0      131        0        0       46822     41535    11076     3847        1        0       28        0        0        0 
   14683    56461    13763    18104        0    13023     1495      125        0      110        0        0       46820     41508    11076     3847        0        0        0        0        0        0 
   14586    56454    13783    18111        0    12966     1499      148        0      119        0        0       46847     41501    11076     3847        0        0        2        0        0        0 
   14400    56456    13801    18117        0    12966     1499      118        0      100        0        0       46871     41503    11076     3847        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   14740    56471    13825    18125        0    12966     1499 10536007    43375  9342224   189216    45133       46903     41518    11076     3847   311385   433224   318240    10147        0        0 
   14592    56501    13838    18130        0    12964     1500      248        0      211        0        0       46919     41550    11071     3847        5        0        2        0        0        0 
   14487    56616    13751    18054        0    13023     1469      927        1      503        0        0       46765     41656    11070     3847        1        0       17        0        0        0 
   14287    56639    13776    18063        0    13023     1471      285        0      198        0        0       46810     41668    11063     3847        7        0       15        0        0        0 
