Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   11328    64254     5422    17257        0    12652      899 26325044   132926 23045033   516069   261750       44367     42566    33263    10458   491950   748635   856193    17784        0        0 
   11238    64214     5519    17258        0    12400      903     2039       32     1881        0        0       44465     42526    33263    10458        0        0        0        0        0        0 
   11949    64233     5515    17254        0    12170      895      577        0      471        0        0       44470     42532    33263    10458        0        0        0        0        0        0 
   11973    64249     5515    17254        0    12186      895       96        0       56        0        0       44470     42548    33263    10458        0        0        0        0        0        0 
   12027    64247     5515    17254        0    12190      895       51        0       51        0        0       44470     42546    33263    10458        0        0        0        0        0        0 
   11619    64230     5515    17254        0    12156      903       54        0       53        0        0       44470     42529    33263    10458        0        0        0        0        0        0 
    8805    64289     5606    17236        0    14592      901      396        0      359        0        0       44549     42582    33263    10458        0        0       95        0        0        0 
   10757    64280     5606    17236        0    13257      807      321        0      320        0        0       44588     42534    33263    10458        0        0        0        0        0        0 
   10475    64279     5606    17236        0    13293      807      229        0      229        0        0       44588     42533    33263    10458        0        0        0        0        0        0 
   11603    64324     5606    17230        0    12295      807      187        0      169        0        0       44582     42578    33263    10458        0        0        0        0        0        0 
   11367    64260     5606    17230        0    12339      797      198        0      198        0        0       44582     42514    33263    10458        0        0        0        0        0        0 
   11312    64240     5606    17230        0    12329      787      445        0      408        0        0       44582     42494    33263    10458        0        0        0        0        0        0 
   11499    64257     5607    17231        0    12337      795      187        0      182        0        0       44584     42511    33263    10458        0        0        0        0        0        0 
   10907    64460     5608    17212        0    12339      804      715       44      357        1        0       44579     42701    33212    10432       51        0       24        0        0        0 
   10717    64607     5687    17258        0    12492      798     1438       57      981        0        0       44725     42827    33204    10432        8        0       94        0        0        0 
   10797    64701     5691    17235        0    12515      830     1279        7      909        0        0       44597     43030    33095    10396      109        0       31        0        0        0 
   10563    64628     5691    17235        0    12535      834      855        0      722        0        0       44530     43024    33088    10396        7        0        0        0        0        0 
   10824    64507     5692    17231        0    12529      834      160        7      119        0        0       44531     42899    33088    10396        0        0        0        0        0        0 
   10917    64494     5692    17228        0    12529      834       78        0       77        0        0       44531     42883    33088    10396        0        0        0        0        0        0 
   11068    64586     5665    17218        0    12275      942      487        0      443        0        0       44522     42947    33088    10396        0        0        0        0        0        0 
   11354    64584     5619    17209        0    12275      946      733        0      609        0        0       44467     42945    33088    10396        0        0        2        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   11227    64602     5458    17210        0    12276      949 26335894   133079 23053863   516070   261750       44307     42963    33088    10396   492125   748635   856440    17784        0        0 
   11057    64610     5455    17210        0    12254      947      332        2      295        0        0       44304     42971    33088    10396        0        0        1        0        0        0 
   11220    64596     5455    17209        0    12254      947      173        0      148        0        0       44304     42956    33088    10396        0        0        0        0        0        0 
   11358    64618     5455    17209        0    12254      947      184        0      160        0        0       44304     42978    33088    10396        0        0        0        0        0        0 
