Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   11768    76082     7030    16117        0     9736     1403   924765    27256   678372      142    13440       52863     46366     4536     1409     5804    14810    97906       52        0        0 
   11548    76084     7104    16119        0     9740     1405     1585       48     1364        0        0       52939     46368     4536     1409        0        0        0        0        0        0 
   11550    76084     7104    16119        0     9740     1405        2        0        2        0        0       52939     46368     4536     1409        0        0        0        0        0        0 
   11563    76084     7104    16119        0     9740     1405       11        0       11        0        0       52939     46368     4536     1409        0        0        0        0        0        0 
   11565    76084     7104    16119        0     9740     1405        2        0        2        0        0       52939     46368     4536     1409        0        0        0        0        0        0 
   11579    76096     7104    16119        0     9740     1405       26        0       26        0        0       52939     46380     4536     1409        0        0        0        0        0        0 
   11591    76094     7104    16119        0     9756     1405       10        0       10        0        0       52939     46378     4536     1409        0        0        0        0        0        0 
   11610    76095     7104    16119        0     9740     1405        5        0        4        0        0       52939     46379     4536     1409        0        0        0        0        0        0 
   11123    76095     7105    16119        0     9740     1405       23        0       23        0        0       52940     46379     4536     1409        0        0        0        0        0        0 
   11202    76093     7105    16119        0     9740     1405       73        0       73        0        0       52940     46377     4536     1409        0        0        0        0        0        0 
   11206    76089     7105    16119        0     9740     1453        0        0        0        0        0       52940     46373     4536     1409        0        0        0        0        0        0 
   11206    76089     7105    16119        0     9740     1453        0        0        0        0        0       52940     46373     4536     1409        0        0        0        0        0        0 
   11211    76084     7105    16119        0     9740     1453        0        0        0        0        0       52940     46368     4536     1409        0        0        0        0        0        0 
   11244    76054     7105    16119        0     9740     1453        3        0        3        0        0       52940     46338     4536     1409        0        0        0        0        0        0 
   11261    76036     7106    16119        0     9774     1437       21        0       15        0        0       52941     46320     4536     1409        0        0        2        0        0        0 
   11285    76032     7106    16119        0     9757     1437        1        0        1        0        0       52941     46316     4536     1409        0        0        0        0        0        0 
   11285    76032     7106    16119        0     9757     1437        0        0        0        0        0       52941     46316     4536     1409        0        0        0        0        0        0 
   11285    76032     7106    16119        0     9757     1437        0        0        0        0        0       52941     46316     4536     1409        0        0        0        0        0        0 
   11290    76028     7107    16119        0     9756     1437        0        0        0        0        0       52942     46312     4536     1409        0        0        0        0        0        0 
   11290    76028     7107    16119        0     9756     1437        0        0        0        0        0       52942     46312     4536     1409        0        0        0        0        0        0 
   11294    76027     7107    16119        0     9757     1437        4        0        4        0        0       52942     46311     4536     1409        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   11465    75484     7107    16119        0    10385     1356   926684    27304   680052      142    13440       52942     45768     4536     1409     5804    14810    97908       52        0        0 
   11233    75485     7108    16119        0    10350     1356      210        0      210        0        0       52943     45769     4536     1409        0        0        0        0        0        0 
   11346    75485     7103    16119        0    10305     1362       46        0       41        0        0       52940     45767     4536     1409        0        0        0        0        0        0 
   10987    75477     7104    16119        0    10282     1356       10        0       10        0        0       52939     45761     4536     1409        0        0        0        0        0        0 
