Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   14464    57936    14264    14622        0    12757     1007 33154267   117694 29958801   861635   217087       50932     35890    21760     7179   404240   716745   845757    36244        0        0 
   13826    57937    14334    14624        0    12760     1009     1333       48     1111        0        0       51004     35891    21760     7179        0        0        0        0        0        0 
   13848    57927    14334    14624        0    12762     1009       13        0       10        0        0       51004     35881    21760     7179        0        0        0        0        0        0 
   13848    57927    14335    14624        0    12762     1009        0        0        0        0        0       51005     35881    21760     7179        0        0        0        0        0        0 
   13866    57925    14335    14624        0    12760     1005       13        0       10        0        0       51005     35879    21760     7179        0        0        0        0        0        0 
   13866    57927    14335    14624        0    12758     1009        0        0        0        0        0       51005     35881    21760     7179        0        0        0        0        0        0 
   13875    57918    14335    14624        0    12758     1009        0        0        0        0        0       51005     35872    21760     7179        0        0        0        0        0        0 
   13923    57880    14335    14624        0    12762     1009       13        0       10        0        0       51005     35834    21760     7179        0        0        0        0        0        0 
   13949    57866    14335    14624        0    12762     1009       12        0       12        0        0       51005     35820    21760     7179        0        0        0        0        0        0 
   14014    57813    14335    14624        0    12762     1005       15        0       12        0        0       51005     35767    21760     7179        0        0        0        0        0        0 
   14040    57860    14335    14624        0    12758     1009       66        0       66        0        0       51005     35814    21760     7179        0        0        0        0        0        0 
   14098    57959    14351    14641        0    12764     1009      189        0      158        0        0       51038     35913    21760     7179        0        0       10        0        0        0 
   13706    57973    14337    14658        0    12802     1006      725        0      651        0        0       51041     35927    21756     7179        3        0        0        0        0        0 
   14004    57982    14337    14658        0    12821     1006      340        0      322        0        0       51041     35936    21756     7179        0        0        0        0        0        0 
   14096    57969    14337    14658        0    12811     1003       72        0       69        0        0       51041     35923    21756     7179        0        0        0        0        0        0 
   14115    57971    14337    14658        0    12809     1007       18        0       17        0        0       51041     35925    21756     7179        0        0        0        0        0        0 
   14169    57973    14337    14658        0    12792     1007       39        0       39        0        0       51041     35927    21756     7179        0        0        0        0        0        0 
   14212    57971    14337    14658        0    12792     1007       44        0       41        0        0       51041     35925    21756     7179        0        0        0        0        0        0 
   14272    57922    14337    14658        0    12792     1007       11        0       11        0        0       51041     35876    21756     7179        0        0        0        0        0        0 
   14322    57917    14337    14658        0    12794     1000       48        0       45        0        0       51041     35871    21756     7179        0        0        0        0        0        0 
   13899    57940    14352    14658        0    12791     1005      215        0      109        0        0       51056     35894    21756     7179        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   13901    57944    14355    14658        0    12791     1005 33157440   117742 29961500   861635   217087       51059     35898    21756     7179   404243   716745   845767    36244        0        0 
   13403    57949    14355    14658        0    12791     1006       23        0       18        0        0       51059     35903    21756     7179        0        0        0        0        0        0 
   13405    57954    14355    14658        0    12791     1006        7        0        7        0        0       51059     35908    21756     7179        0        0        0        0        0        0 
   13423    57952    14355    14658        0    12793     1002       19        0       16        0        0       51059     35906    21756     7179        0        0        0        0        0        0 
