Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4600    66000     8198    15636        0    12197     2038 33178300   146451 29586162  1016981   272783       36865     52969    43604    14054   518055   937145  1232765    42346        0        0 
    4951    65961     8284    15636        0    12186     2038     1508       28     1372        0        0       36951     52930    43604    14054        0        0        0        0        0        0 
    4953    65962     8284    15636        0    12186     2038        3        0        3        0        0       36951     52931    43604    14054        0        0        0        0        0        0 
    4953    65962     8284    15636        0    12186     2038        0        0        0        0        0       36951     52931    43604    14054        0        0        0        0        0        0 
    4956    65963     8284    15636        0    12186     2038        4        0        4        0        0       36951     52932    43604    14054        0        0        0        0        0        0 
    5030    65963     8284    15636        0    12186     2038       70        0       70        0        0       36951     52932    43604    14054        0        0        0        0        0        0 
    5033    65964     8284    15636        0    12186     2038        5        0        4        0        0       36951     52933    43604    14054        0        0        0        0        0        0 
    5035    65964     8285    15636        0    12186     2038        3        0        2        0        0       36952     52933    43604    14054        0        0        0        0        0        0 
    5060    65941     8285    15636        0    12185     2038        1        0        1        0        0       36952     52910    43604    14054        0        0        0        0        0        0 
    5063    65938     8285    15636        0    12185     2038        0        0        0        0        0       36952     52907    43604    14054        0        0        0        0        0        0 
    5066    65939     8285    15636        0    12185     2038        4        0        4        0        0       36952     52908    43604    14054        0        0        0        0        0        0 
    5085    65921     8285    15636        0    12185     2038        1        0        1        0        0       36952     52890    43604    14054        0        0        0        0        0        0 
    5095    65913     8285    15636        0    12183     2038        0        0        0        0        0       36952     52882    43604    14054        0        0        0        0        0        0 
    5113    65898     8285    15636        0    12182     2038        2        0        2        0        0       36952     52867    43604    14054        0        0        0        0        0        0 
    5116    65908     8285    15636        0    12182     2038       14        0       13        0        0       36952     52877    43604    14054        0        0        0        0        0        0 
    5128    65896     8285    15636        0    12182     2038        0        0        0        0        0       36952     52865    43604    14054        0        0        0        0        0        0 
    4756    65896     8290    15636        0    12182     2038      148        0      137        0        0       36957     52865    43601    14054        3        0        0        0        0        0 
    4762    65894     8290    15636        0    12182     2036        4        0        4        0        0       36957     52863    43601    14054        0        0        0        0        0        0 
    4770    65896     8290    15636        0    12182     2036       10        0       10        0        0       36957     52865    43601    14054        0        0        0        0        0        0 
    4798    65997     8292    15636        0    12053     2036        0        0        0        0        0       36959     52966    43601    14054        0        0        0        0        0        0 
    4807    65988     8292    15636        0    12053     2036        0        0        0        0        0       36959     52957    43601    14054        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    4808    65989     8292    15636        0    12054     2036 33180079   146479 29587791  1016981   272783       36959     52958    43601    14054   518058   937145  1232765    42346        0        0 
    4808    65989     8292    15636        0    12054     2036        0        0        0        0        0       36959     52958    43601    14054        0        0        0        0        0        0 
    4814    65984     8292    15636        0    12054     2037        2        0        1        0        0       36959     52953    43601    14054        0        0        0        0        0        0 
    4824    65974     8292    15636        0    12054     2037        0        0        0        0        0       36959     52943    43601    14054        0        0        0        0        0        0 
