Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   13259    56514    14058    17583        0    13385     1004 94189816   340249 84562142  3337276  1055776       50668     37487    16467     6035  1542010  2727903  2467399   122623        0        0 
   13296    56514    14137    17585        0    13387     1006     1429       48     1207        0        0       50749     37487    16467     6035        0        0        0        0        0        0 
   12833    56509    14138    17585        0    13385     1009       41        0       40        0        0       50750     37482    16467     6035        0        0        0        0        0        0 
   12931    56502    14138    17585        0    13385     1009       92        0       91        0        0       50750     37475    16467     6035        0        0        0        0        0        0 
   13189    56500    14138    17585        0    13386     1008      260        0      257        0        0       50750     37473    16467     6035        0        0        0        0        0        0 
   13066    56492    14138    17585        0    13386     1008      381        0      381        0        0       50750     37465    16467     6035        0        0        0        0        0        0 
   12927    56824    14139    17578        0    12952     1009      261        0      255        0        0       50790     37751    16467     6035        0        0        0        0        0        0 
   13978    56866    13596    17573        0    12952     1009      349        0      336        0        0       50242     37793    16467     6035        0        0        0        0        0        0 
   13791    56869    13554    17578        0    12952     1009      306        0      216        0        0       50205     37796    16465     6035        2        0        0        0        0        0 
   13797    56871    13554    17578        0    12952      999        9        0        5        0        0       50205     37798    16465     6035        0        0        0        0        0        0 
   13813    56872    13554    17578        0    12952      991       17        0       17        0        0       50205     37799    16465     6035        0        0        0        0        0        0 
   13896    56860    13554    17578        0    12952     1007       67        0       67        0        0       50205     37787    16465     6035        0        0        0        0        0        0 
   13934    56836    13554    17578        0    12950     1009       10        0       10        0        0       50205     37763    16465     6035        0        0        0        0        0        0 
   13958    56838    13554    17578        0    12950     1009       35        0       26        0        0       50205     37765    16465     6035        0        0        0        0        0        0 
   13959    56837    13554    17578        0    12950     1007        3        0        0        0        0       50205     37764    16465     6035        0        0        0        0        0        0 
   13959    56837    13554    17578        0    12950     1007        0        0        0        0        0       50205     37764    16465     6035        0        0        0        0        0        0 
   13967    56829    13554    17578        0    12950     1009        0        0        0        0        0       50205     37756    16465     6035        0        0        0        0        0        0 
   13485    56829    13554    17578        0    12950     1009       28        0       28        0        0       50205     37756    16465     6035        0        0        0        0        0        0 
   13490    56832    13554    17578        0    12950     1009        9        0        8        0        0       50205     37759    16465     6035        0        0        0        0        0        0 
   13490    56832    13554    17578        0    12950     1007        3        0        0        0        0       50205     37759    16465     6035        0        0        0        0        0        0 
   13496    56827    13555    17578        0    12949     1007        0        0        0        0        0       50206     37754    16465     6035        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   13515    56810    13555    17578        0    12949     1007 94193118   340297 84565088  3337276  1055776       50206     37737    16465     6035  1542012  2727903  2467399   122623        0        0 
   13515    56810    13555    17578        0    12949     1007        0        0        0        0        0       50206     37737    16465     6035        0        0        0        0        0        0 
   13650    56793    13553    17579        0    12950     1006        5        0        5        0        0       50205     37720    16465     6035        0        0        0        0        0        0 
   13668    56788    13553    17579        0    12950     1006       16        0       13        0        0       50205     37715    16465     6035        0        0        0        0        0        0 
