Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    9702    56468    25207    12307        0    10467      643   820860    17832   597118      383     2390       66673     27309    21555     6787     5575    27225    76760       11        0        0 
    9600    56472    25294    12309        0    10475      649     1695       48     1472        0        0       66762     27313    21555     6787        0        0        0        0        0        0 
    9661    56470    25294    12309        0    10474      649       58        0       58        0        0       66762     27311    21555     6787        0        0        0        0        0        0 
    9832    56467    25294    12309        0    10477      644      174        0      171        0        0       66762     27308    21555     6787        0        0        0        0        0        0 
    9497    56467    25294    12309        0    10477      644      175        0      175        0        0       66762     27308    21555     6787        0        0        0        0        0        0 
    9686    56468    25294    12309        0    10477      644      190        0      190        0        0       66762     27309    21555     6787        0        0        0        0        0        0 
    9729    56469    25294    12309        0    10476      645       43        0       43        0        0       66762     27310    21555     6787        0        0        0        0        0        0 
    9754    56471    25294    12309        0    10474      649       25        0       25        0        0       66762     27312    21555     6787        0        0        0        0        0        0 
    9843    56427    25294    12309        0    10475      644       57        0       46        0        0       66762     27268    21555     6787        0        0        0        0        0        0 
    9896    56413    25294    12309        0    10475      644       37        0       37        0        0       66762     27254    21555     6787        0        0        0        0        0        0 
    9500    56363    25294    12309        0    10471      645       63        0       62        0        0       66762     27204    21555     6787        0        0        0        0        0        0 
    9585    56341    25295    12309        0    10468      649       60        0       60        0        0       66763     27182    21555     6787        0        0        0        0        0        0 
    9659    56326    25295    12309        0    10467      649       58        0       58        0        0       66763     27167    21555     6787        0        0        0        0        0        0 
    9722    56313    25295    12309        0    10470      644       56        0       53        0        0       66763     27154    21555     6787        0        0        0        0        0        0 
    9755    56313    25295    12309        0    10470      644       31        0       31        0        0       66763     27154    21555     6787        0        0        0        0        0        0 
    9786    56306    25295    12309        0    10470      646       24        0       24        0        0       66763     27147    21555     6787        0        0        0        0        0        0 
    9824    56304    25295    12309        0    10467      649       34        0       33        0        0       66763     27145    21555     6787        0        0        0        0        0        0 
    9941    56376    25294    12311        0    10470      649      417       52      129        0        0       66765     27216    21554     6787        1        0        0        0        0        0 
   10038    56343    25294    12311        0    10471      644       68        0       65        0        0       66765     27183    21554     6787        0        0        0        0        0        0 
   10043    56338    25294    12311        0    10471      644        0        0        0        0        0       66765     27178    21554     6787        0        0        0        0        0        0 
   10096    56321    25294    12311        0    10468      645       34        0       31        0        0       66765     27161    21552     6787        2        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
   10130    56290    25294    12311        0    10468      645   824162    17932   599883      383     2390       66765     27130    21551     6787     5579    27225    76760       11        0        0 
    9722    56291    25294    12311        0    10466      649       99        0       99        0        0       66765     27131    21551     6787        0        0        0        0        0        0 
    9754    56284    25294    12311        0    10469      644       31        0       28        0        0       66765     27124    21551     6787        0        0        0        0        0        0 
    9783    56284    25294    12311        0    10469      644       29        0       29        0        0       66765     27124    21551     6787        0        0        0        0        0        0 
