Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3169    66259    12277    20482        0    11628     1794 20265222    86846 18421813   311923   108420       52178     46840    20035     7052   142940   310314   455498    16318        0        0 
    2961    66174    12354    20482        0    11612     1794     1325        0     1295        0        0       52255     46755    20035     7052        0        0        0        0        0        0 
    2987    66157    12354    20482        0    11610     1796       10        0        7        0        0       52255     46738    20035     7052        0        0        0        0        0        0 
    2993    66154    12354    20482        0    11611     1796        3        0        3        0        0       52255     46735    20035     7052        0        0        0        0        0        0 
    3005    66144    12354    20482        0    11611     1794        8        0        2        0        0       52255     46725    20035     7052        0        0        0        0        0        0 
    3005    66144    12354    20482        0    11611     1794        0        0        0        0        0       52255     46725    20035     7052        0        0        0        0        0        0 
    3033    66144    12354    20482        0    11611     1794       28        0       28        0        0       52255     46725    20035     7052        0        0        0        0        0        0 
    3080    66146    12354    20482        0    11614     1796       50        0       47        0        0       52255     46727    20035     7052        0        0        0        0        0        0 
    3128    66145    12363    20482        0    11614     1796       46        0       46        0        0       52264     46726    20035     7052        0        0        0        0        0        0 
    3138    66135    12363    20482        0    11614     1794        6        0        0        0        0       52264     46716    20035     7052        0        0        0        0        0        0 
    3140    66133    12363    20482        0    11614     1794        0        0        0        0        0       52264     46714    20035     7052        0        0        0        0        0        0 
    3140    66134    12363    20482        0    11613     1794        0        0        0        0        0       52264     46715    20035     7052        0        0        0        0        0        0 
    3142    66132    12363    20482        0    11613     1796        3        0        0        0        0       52264     46713    20035     7052        0        0        0        0        0        0 
    3153    66128    12363    20482        0    11613     1786       10        0        7        0        0       52264     46709    20035     7052        0        0        0        0        0        0 
    3166    66115    12363    20482        0    11613     1789        3        0        0        0        0       52264     46696    20035     7052        0        0        0        0        0        0 
    3166    66118    12363    20482        0    11613     1789        3        0        3        0        0       52264     46699    20035     7052        0        0        0        0        0        0 
    3166    66118    12363    20482        0    11613     1789        0        0        0        0        0       52264     46699    20035     7052        0        0        0        0        0        0 
    3166    66118    12363    20482        0    11613     1791        3        0        0        0        0       52264     46699    20035     7052        0        0        0        0        0        0 
    3166    66117    12364    20482        0    11614     1789        3        0        0        0        0       52265     46698    20035     7052        0        0        0        0        0        0 
    3174    66109    12364    20482        0    11614     1789        3        0        0        0        0       52265     46690    20035     7052        0        0        0        0        0        0 
    3305    66111    12365    20482        0    11614     1789       69        0       69        0        0       52266     46692    20035     7052        0        0        0        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
    3309    66111    12365    20482        0    11614     1789 20266797    86846 18423322   311923   108420       52266     46692    20035     7052   142940   310314   455498    16318        0        0 
    3309    66111    12365    20482        0    11614     1791        3        0        0        0        0       52266     46692    20035     7052        0        0        0        0        0        0 
    3309    66111    12365    20482        0    11614     1789        3        0        0        0        0       52266     46692    20035     7052        0        0        0        0        0        0 
    3389    66031    12365    20482        0    11614     1789        3        0        0        0       80       52266     46612    20035     7052        0        0        0        0        0        0 
